name,n,win_rate,avg_pnl,med_pnl,total_pnl_sum,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold_days,add_rate
strong|both|trail_ma60|add=0.03|macd_stop=False,19,0.15789473684210525,-0.019004975167410294,-0.012033802816901409,-0.36109452818079557,0.011532531053734025,0.0014043064947862362,-0.022831715479072142,0.0018240552735476596,-0.08748364953653384,3.789473684210526,0.10526315789473684
strong|ma20|trail_ma20|add=None|tgt=None,32,0.09375,-0.011394624106303895,-0.01051088565839738,-0.36462797140172465,0.11373263087220134,0.015597286598333511,-0.014186890730921558,0.043300369926869954,-0.0532678870033579,4.40625,0.0
all|both|trail_ma60|add=0.03|macd_stop=True,23,0.17391304347826086,-0.01602609204630295,-0.012033802816901409,-0.36860011706496787,0.03639231762455219,0.003480205892404064,-0.02013268108603074,0.009707904085257547,-0.08748364953653384,4.043478260869565,0.08695652173913043
all|ma20|macd_cross_up|add=None|tgt=None,35,0.22857142857142856,-0.010668983861612755,-0.018982781456953642,-0.37341443515644646,0.42886770987985673,0.03504997800245571,-0.024215342932447852,0.08895034602076125,-0.05403053636733035,13.914285714285715,0.0
all|ma20|trail_ma20|add=None|tgt=None,37,0.13513513513513514,-0.010139218166100623,-0.008688283062645012,-0.3751510721457231,0.12454772873081323,0.010674302986030487,-0.01339133084612111,0.043300369926869954,-0.0532678870033579,4.594594594594595,0.0
strong|ma20|macd_cross_up|add=None|tgt=None,30,0.2,-0.012648484739912555,-0.019591951648669947,-0.3794545421973766,0.3804772214992175,0.038840059615427865,-0.025520620828747658,0.08895034602076125,-0.05403053636733035,14.1,0.0
all|both|trail_ma60|add=0.05|macd_stop=False,23,0.17391304347826086,-0.016594807640460677,-0.014368896164639851,-0.38168057573059555,0.04295784899752072,0.00428303406499575,-0.020990142736346244,0.012919216775624293,-0.06986379136327589,5.739130434782608,0.043478260869565216
strong|both|macd_or_vol|add=0.03|tgt=None,17,0.17647058823529413,-0.023352603836463398,-0.02484597754911132,-0.3969942652198778,0.127315329033849,0.019305734431759525,-0.03249367632251117,0.02605803161788242,-0.08748364953653384,11.117647058823529,0.23529411764705882
all|both|trail_ma60|add=0.03|macd_stop=False,23,0.17391304347826086,-0.01734261026054657,-0.014368896164639851,-0.39888003599257105,0.08232859619186393,0.008946348681007407,-0.022877127932452668,0.03157247523967092,-0.08748364953653384,5.739130434782608,0.13043478260869565
all|both|macd_or_vol|add=0.03|tgt=None,19,0.21052631578947367,-0.021107814586536083,-0.020642573792066177,-0.40104847714418557,0.14429041792298625,0.01690627684513403,-0.03124490563498145,0.02605803161788242,-0.08748364953653384,11.105263157894736,0.21052631578947367
strong|both|macd_cross_up|add=0.03|tgt=None,17,0.11764705882352941,-0.024944878070100516,-0.02484597754911132,-0.4240629271917088,0.0873193917340168,0.020285802351864644,-0.030975635459695876,0.02605803161788242,-0.08748364953653384,11.705882352941176,0.23529411764705882
all|both|macd_cross_up|add=0.03|tgt=None,19,0.15789473684210525,-0.022532481006106136,-0.020642573792066177,-0.42811713911601657,0.10510004409347573,0.01675983626299561,-0.02989979049406271,0.02605803161788242,-0.08748364953653384,11.631578947368421,0.21052631578947367
all|ma20|macd_or_vol|add=0.03|tgt=None,35,0.2857142857142857,-0.012706874223595687,-0.019512958660083263,-0.44474059782584907,0.3382883561900279,0.022736575240420377,-0.026884254009202115,0.06813856211930445,-0.05403053636733035,12.885714285714286,0.2
