strategy,year,bh,st,exposure
S5_death_cross,2019,0.3063606917575359,-0.13470380624941403,0.30991735537190085
S5_death_cross,2020,0.33552326534821275,-0.0044791276352155185,0.24897959183673468
S5_death_cross,2021,0.25350456727060866,-0.1287406715225814,0.28688524590163933
S5_death_cross,2022,-0.1991795726189186,0.07292906345512717,0.6829268292682927
S5_death_cross,2023,0.24355970302133367,-0.0824447972341571,0.28870292887029286
S5_death_cross,2024,0.28804608782071717,-0.08864483452157057,0.2066115702479339
S5_death_cross,2025,0.3155112201249364,-0.004807630537149832,0.20987654320987653
S5_death_cross,2026,0.554731672367462,-0.08538794217045997,0.1165644171779141
S6_break_ll20,2016,0.10106709250912371,-0.031889962845709996,0.016
S6_break_ll20,2017,0.18968376622439842,-0.014073396971492236,0.028455284552845527
S6_break_ll20,2018,-0.04459779061993696,-0.009217110830305408,0.04048582995951417
S6_break_ll20,2019,0.3063606917575359,-0.014449845630165603,0.03305785123966942
S6_break_ll20,2020,0.33552326534821275,0.049164111800418686,0.036734693877551024
S6_break_ll20,2021,0.25350456727060866,0.021778927698529404,0.040983606557377046
S6_break_ll20,2022,-0.1991795726189186,-0.04521541814391772,0.11788617886178862
S6_break_ll20,2023,0.24355970302133367,-0.02004791666821082,0.03347280334728033
S6_break_ll20,2024,0.28804608782071717,0.019174764871032313,0.028925619834710745
S6_break_ll20,2025,0.3155112201249364,-0.034642241887700265,0.0411522633744856
S6_break_ll20,2026,0.554731672367462,0.03386485543026829,0.018404907975460124
S7_ma60_down_and_ll20,2016,0.10106709250912371,-0.031889962845709996,0.016
S7_ma60_down_and_ll20,2017,0.18968376622439842,-0.0038708703571428416,0.0040650406504065045
S7_ma60_down_and_ll20,2018,-0.04459779061993696,-0.0015195719768179572,0.032388663967611336
S7_ma60_down_and_ll20,2019,0.3063606917575359,-0.010073244772827672,0.01652892561983471
S7_ma60_down_and_ll20,2020,0.33552326534821275,0.08093451249576078,0.024489795918367346
S7_ma60_down_and_ll20,2021,0.25350456727060866,-0.01516360002469297,0.012295081967213115
S7_ma60_down_and_ll20,2022,-0.1991795726189186,-0.05215558169691348,0.08943089430894309
S7_ma60_down_and_ll20,2023,0.24355970302133367,-0.011542393252924388,0.012552301255230125
S7_ma60_down_and_ll20,2024,0.28804608782071717,0.0,0.0
S7_ma60_down_and_ll20,2025,0.3155112201249364,0.006397995350859942,0.024691358024691357
S7_ma60_down_and_ll20,2026,0.554731672367462,0.0,0.0
S8_ret60_neg_ma60,2016,0.10106709250912371,-0.06364429165629237,0.088
S8_ret60_neg_ma60,2017,0.18968376622439842,-0.010734601744994854,0.04065040650406504
S8_ret60_neg_ma60,2018,-0.04459779061993696,-0.05808594218906382,0.4574898785425101
S8_ret60_neg_ma60,2019,0.3063606917575359,-0.07199264764883817,0.12396694214876033
S8_ret60_neg_ma60,2020,0.33552326534821275,-0.07543394777176982,0.2
S8_ret60_neg_ma60,2021,0.25350456727060866,-0.1575788830448055,0.1762295081967213
S8_ret60_neg_ma60,2022,-0.1991795726189186,0.02433896508579725,0.6626016260162602
S8_ret60_neg_ma60,2023,0.24355970302133367,-0.03007535515166737,0.17154811715481172
S8_ret60_neg_ma60,2024,0.28804608782071717,-0.19222095413591067,0.07024793388429752
S8_ret60_neg_ma60,2025,0.3155112201249364,-0.028289782419685494,0.2139917695473251
S8_ret60_neg_ma60,2026,0.554731672367462,-0.08213897401496928,0.012269938650306749
S9_rsi_overbought_short,2016,0.10106709250912371,-0.0027341189997059923,0.104
S9_rsi_overbought_short,2017,0.18968376622439842,0.021424562050985196,0.18699186991869918
S9_rsi_overbought_short,2018,-0.04459779061993696,-0.028869499178244773,0.11336032388663968
S9_rsi_overbought_short,2019,0.3063606917575359,-0.02378820781371571,0.2892561983471074
S9_rsi_overbought_short,2020,0.33552326534821275,-0.08435968379169545,0.23265306122448978
S9_rsi_overbought_short,2021,0.25350456727060866,-0.07707176870433119,0.28688524590163933
S9_rsi_overbought_short,2022,-0.1991795726189186,-0.040901257382252476,0.0975609756097561
S9_rsi_overbought_short,2023,0.24355970302133367,-0.08901641440959973,0.2594142259414226
S9_rsi_overbought_short,2024,0.28804608782071717,-0.0637175576933332,0.2727272727272727
S9_rsi_overbought_short,2025,0.3155112201249364,-0.027733497777003624,0.1728395061728395
S9_rsi_overbought_short,2026,0.554731672367462,-0.12126658122518186,0.32515337423312884
S10_vol_expand_ma60,2016,0.10106709250912371,-0.010435864537274075,0.048
S10_vol_expand_ma60,2017,0.18968376622439842,-0.013549367063006246,0.036585365853658534
S10_vol_expand_ma60,2018,-0.04459779061993696,-0.035750482416598506,0.17408906882591094
S10_vol_expand_ma60,2019,0.3063606917575359,-0.04126067580489656,0.024793388429752067
S10_vol_expand_ma60,2020,0.33552326534821275,0.06086829634397262,0.12653061224489795
S10_vol_expand_ma60,2021,0.25350456727060866,-0.061732113474117445,0.040983606557377046
S10_vol_expand_ma60,2022,-0.1991795726189186,-0.05952504023212579,0.22764227642276422
S10_vol_expand_ma60,2023,0.24355970302133367,0.0,0.0
S10_vol_expand_ma60,2024,0.28804608782071717,-0.046999893415569094,0.008264462809917356
S10_vol_expand_ma60,2025,0.3155112201249364,-0.1938765444975401,0.10699588477366255
S10_vol_expand_ma60,2026,0.554731672367462,0.0,0.0
