name,n,win_rate,avg_pnl,med_pnl,total_pnl_sum,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold_days,add_rate,breakdown,exit_mode,add_after_dd,target_dd,score
br=swing_low|ex=macd_or_target|add=0.05|tgt=0.05,19,0.21052631578947367,-0.01661345812762878,-0.013762116009565272,-0.31565570442494684,0.2853248365898063,0.03150536666684013,-0.029445144739487162,0.07174587634421478,-0.06986379136327589,10.894736842105264,0.10526315789473684,swing_low,macd_or_target,0.05,0.05,-0.29460307284599946
br=swing_low|ex=macd_or_vol|add=None|tgt=None,19,0.2631578947368421,-0.017163569294687594,-0.013762116009565272,-0.3261078165990643,0.2450405939501489,0.021169258222592274,-0.030853864836573264,0.046510630963158994,-0.06986379136327589,11.105263157894736,0.0,swing_low,macd_or_vol,,,-0.2997920271253801
br=both|ex=macd_or_vol|add=None|tgt=None,19,0.2631578947368421,-0.017163569294687594,-0.013762116009565272,-0.3261078165990643,0.2450405939501489,0.021169258222592274,-0.030853864836573264,0.046510630963158994,-0.06986379136327589,11.105263157894736,0.0,both,macd_or_vol,,,-0.2997920271253801
br=ma20|ex=macd_or_target|add=0.05|tgt=0.08,35,0.2571428571428571,-0.009454024810483888,-0.018982781456953642,-0.3308908683669361,0.4913179728267209,0.0355106425338098,-0.025018717352739393,0.14775864044153217,-0.05403053636733035,13.314285714285715,0.17142857142857143,ma20,macd_or_target,0.05,0.08,-0.3051765826526504
br=both|ex=macd_or_target|add=0.05|tgt=0.08,19,0.21052631578947367,-0.017270550381115333,-0.013762116009565272,-0.32814045724119134,0.2570581440066949,0.028384178462779,-0.029445144739487162,0.07174587634421478,-0.06986379136327589,11.263157894736842,0.10526315789473684,both,macd_or_target,0.05,0.08,-0.30708782566224396
br=swing_low|ex=macd_or_target|add=0.05|tgt=0.08,19,0.21052631578947367,-0.017270550381115333,-0.013762116009565272,-0.32814045724119134,0.2570581440066949,0.028384178462779,-0.029445144739487162,0.07174587634421478,-0.06986379136327589,11.263157894736842,0.10526315789473684,swing_low,macd_or_target,0.05,0.08,-0.30708782566224396
br=both|ex=macd_cross_up|add=None|tgt=None,19,0.21052631578947367,-0.018588235714257648,-0.013762116009565272,-0.3531764785708953,0.20037416084363585,0.022125173130353018,-0.029445144739487162,0.046510630963158994,-0.06986379136327589,11.631578947368421,0.0,both,macd_cross_up,,,-0.3321238469919479
br=swing_low|ex=macd_cross_up|add=None|tgt=None,19,0.21052631578947367,-0.018588235714257648,-0.013762116009565272,-0.3531764785708953,0.20037416084363585,0.022125173130353018,-0.029445144739487162,0.046510630963158994,-0.06986379136327589,11.631578947368421,0.0,swing_low,macd_cross_up,,,-0.3321238469919479
br=swing_low|ex=hist_turn_up|add=None|tgt=None,19,0.21052631578947367,-0.018588235714257648,-0.013762116009565272,-0.3531764785708953,0.20037416084363585,0.022125173130353018,-0.029445144739487162,0.046510630963158994,-0.06986379136327589,11.631578947368421,0.0,swing_low,hist_turn_up,,,-0.3321238469919479
br=both|ex=hist_turn_up|add=None|tgt=None,19,0.21052631578947367,-0.018588235714257648,-0.013762116009565272,-0.3531764785708953,0.20037416084363585,0.022125173130353018,-0.029445144739487162,0.046510630963158994,-0.06986379136327589,11.631578947368421,0.0,both,hist_turn_up,,,-0.3321238469919479
br=swing_low|ex=macd_or_ma20|add=0.03|tgt=None,19,0.10526315789473684,-0.018418231011002033,-0.01425039481105471,-0.34994638920903864,0.09272697135432056,0.017882967851569984,-0.02268896028895168,0.02605803161788242,-0.08748364953653384,8.421052631578947,0.21052631578947367,swing_low,macd_or_ma20,0.03,,-0.339420073419565
br=both|ex=macd_or_ma20|add=0.03|tgt=None,19,0.10526315789473684,-0.018418231011002033,-0.01425039481105471,-0.34994638920903864,0.09272697135432056,0.017882967851569984,-0.02268896028895168,0.02605803161788242,-0.08748364953653384,8.421052631578947,0.21052631578947367,both,macd_or_ma20,0.03,,-0.339420073419565
br=ma20|ex=macd_or_ma20|add=None|tgt=None,37,0.13513513513513514,-0.009689596068272565,-0.008688283062645012,-0.3585150545260849,0.16336952744429056,0.014001506509958128,-0.01339133084612111,0.05993638754650815,-0.0532678870033579,4.54054054054054,0.0,ma20,macd_or_ma20,,,-0.3450015410125714
br=ma20|ex=hist_turn_up|add=None|tgt=None,35,0.22857142857142856,-0.010668983861612755,-0.018982781456953642,-0.37341443515644646,0.42886770987985673,0.03504997800245571,-0.024215342932447852,0.08895034602076125,-0.05403053636733035,13.914285714285715,0.0,ma20,hist_turn_up,,,-0.3505572922993036
br=ma20|ex=macd_cross_up|add=None|tgt=None,35,0.22857142857142856,-0.010668983861612755,-0.018982781456953642,-0.37341443515644646,0.42886770987985673,0.03504997800245571,-0.024215342932447852,0.08895034602076125,-0.05403053636733035,13.914285714285715,0.0,ma20,macd_cross_up,,,-0.3505572922993036
br=ma20|ex=trail_ma20|add=None|tgt=None,37,0.13513513513513514,-0.010139218166100623,-0.008688283062645012,-0.3751510721457231,0.12454772873081323,0.010674302986030487,-0.01339133084612111,0.043300369926869954,-0.0532678870033579,4.594594594594595,0.0,ma20,trail_ma20,,,-0.3616375586322096
br=both|ex=macd_or_ma20|add=0.05|tgt=None,19,0.10526315789473684,-0.019721224179700184,-0.01425039481105471,-0.3747032594143035,0.06785717915086477,0.013638632210527173,-0.023645913166785756,0.0175693603357968,-0.06986379136327589,8.421052631578947,0.10526315789473684,both,macd_or_ma20,0.05,,-0.36417694362482983
br=swing_low|ex=macd_or_ma20|add=0.05|tgt=None,19,0.10526315789473684,-0.019721224179700184,-0.01425039481105471,-0.3747032594143035,0.06785717915086477,0.013638632210527173,-0.023645913166785756,0.0175693603357968,-0.06986379136327589,8.421052631578947,0.10526315789473684,swing_low,macd_or_ma20,0.05,,-0.36417694362482983
br=ma20|ex=macd_or_ma20|add=0.05|tgt=None,37,0.13513513513513514,-0.010411073267726353,-0.008688283062645012,-0.3852097109058751,0.10107489657792845,0.008662575234000092,-0.01339133084612111,0.03324173116671797,-0.0532678870033579,4.54054054054054,0.02702702702702703,ma20,macd_or_ma20,0.05,,-0.3716961973923616
br=swing_low|ex=target|add=None|tgt=0.08,14,0.2857142857142857,-0.029138913541344753,-0.04390083189034037,-0.4079447895788265,0.48099515553993494,0.09451716569202073,-0.07860134523469095,0.14930640115376081,-0.17507864216228813,50.57142857142857,0.0,swing_low,target,,0.08,-0.37937336100739794
br=both|ex=target|add=None|tgt=0.08,14,0.2857142857142857,-0.029138913541344753,-0.04390083189034037,-0.4079447895788265,0.48099515553993494,0.09451716569202073,-0.07860134523469095,0.14930640115376081,-0.17507864216228813,50.57142857142857,0.0,both,target,,0.08,-0.37937336100739794
br=both|ex=macd_or_vol|add=0.03|tgt=None,19,0.21052631578947367,-0.021107814586536083,-0.020642573792066177,-0.40104847714418557,0.14429041792298625,0.01690627684513403,-0.03124490563498145,0.02605803161788242,-0.08748364953653384,11.105263157894736,0.21052631578947367,both,macd_or_vol,0.03,,-0.3799958455652382
br=swing_low|ex=macd_or_vol|add=0.03|tgt=None,19,0.21052631578947367,-0.021107814586536083,-0.020642573792066177,-0.40104847714418557,0.14429041792298625,0.01690627684513403,-0.03124490563498145,0.02605803161788242,-0.08748364953653384,11.105263157894736,0.21052631578947367,swing_low,macd_or_vol,0.03,,-0.3799958455652382
br=ma20|ex=macd_or_ma20|add=0.03|tgt=None,37,0.13513513513513514,-0.010715569083622194,-0.009732113388341762,-0.39647605609402115,0.11061599968174443,0.009862240669726904,-0.01393085185758299,0.03924005834535203,-0.0532678870033579,4.54054054054054,0.05405405405405406,ma20,macd_or_ma20,0.03,,-0.38296254258050766
br=ma20|ex=trail_ma20|add=0.05|tgt=None,37,0.13513513513513514,-0.0108734292866152,-0.008688283062645012,-0.4023168836047624,0.06115361071147697,0.005241140694222617,-0.01339133084612111,0.0161345584678306,-0.0532678870033579,4.594594594594595,0.02702702702702703,ma20,trail_ma20,0.05,,-0.3888033700912489
br=ma20|ex=trail_ma20|add=0.03|tgt=None,37,0.13513513513513514,-0.011175055710671428,-0.009732113388341762,-0.4134770612948428,0.07247896269671014,0.006462039629562577,-0.01393085185758299,0.022239053144530396,-0.0532678870033579,4.594594594594595,0.05405405405405406,ma20,trail_ma20,0.03,,-0.39996354778132925
