date,S0_always_short,S1_below_ma20,S2_below_ma60,S3_below_ma60_down,S4_below_ma120_down,S5_death_cross,S6_break_ll20,S7_ma60_down_and_ll20,S8_ret60_neg_ma60,S9_rsi_overbought_short,S10_vol_expand_ma60
2016-10-05,0.9133758764246471,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-06,0.9117942731754269,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-07,0.9120897985448657,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-11,0.9182012831995486,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-12,0.911308030175855,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-13,0.91691759364454,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-14,0.9203050975219621,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-17,0.9206062116339225,0.9452063005720079,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-18,0.9159861062733333,0.9403209575686293,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-19,0.9092245935479114,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-20,0.9083417559880957,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-21,0.9097123945506991,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-24,0.9052934548103297,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-25,0.8989722522576742,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-26,0.9026164751706026,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-27,0.9073538581272607,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-28,0.9080377686480845,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-10-31,0.9077442219556335,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-11-01,0.9080375789162999,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-11-02,0.9197794441609073,0.9401799094249941,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-11-03,0.9270091515822594,0.9474289428620081,0.9684899199532341,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-11-04,0.929457239130452,0.9499309559153408,0.9709022782961034,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-11-07,0.9159214540945716,0.9360970099554087,0.9567629247286844,1.0,1.0,1.0,1.0,1.0,0.9852868932038835,0.9977739635266737,1.0
2016-11-08,0.913033054554691,0.933144985891826,0.9566194102899751,1.0,1.0,1.0,1.0,1.0,0.9851391001699029,0.9977739635266737,1.0
2016-11-09,0.9423292913187222,0.9630865485827724,0.9566194102899751,1.0,1.0,1.0,1.0,1.0,0.9851391001699029,0.9977739635266737,1.0
2016-11-10,0.9161564092213941,0.9363371405809214,0.929906131987916,0.9720753331840072,1.0,1.0,0.9720753331840072,0.9720753331840072,0.9576294190302514,0.9977739635266737,1.0
2016-11-11,0.9371210867779478,0.9577636197704164,0.9297666460681179,0.9719295218840296,1.0,1.0,0.9719295218840296,0.9719295218840296,0.9574857746173969,0.9977739635266737,1.0
2016-11-14,0.9394202575049596,0.9601134357216764,0.9319083081163173,0.9741683036034494,1.0,1.0,0.9719295218840296,0.9719295218840296,0.959691286025943,0.9977739635266737,1.0023034403925504
2016-11-15,0.94015541030569,0.9608647821778028,0.9326375823652624,0.9749306488382424,1.0,1.0,0.9719295218840296,0.9719295218840296,0.9604423021245658,0.9977739635266737,1.0030878030625052
2016-11-16,0.9354220254921125,0.9560271322339674,0.9279420474350278,0.9700221817093858,1.0,1.0,0.9719295218840296,0.9719295218840296,0.9556067792340305,0.9977739635266737,0.9980375735774065
2016-11-17,0.9333298268218103,0.9538888474380962,0.9258665787536701,0.9678525950806464,1.0,1.0,0.9719295218840296,0.9719295218840296,0.9534694346148535,0.9977739635266737,0.9958053267118788
2016-11-18,0.9307262510942333,0.9512279211732053,0.9232838221737949,0.9651527161610954,1.0,1.0,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9930274720848093
2016-11-21,0.9276193425003947,0.9480525748245687,0.9202017575621098,0.9619308866868734,1.0,1.0,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9897125923515786
2016-11-22,0.9149657793277709,0.9351202839624836,0.907649376927737,0.9617865970538704,1.0,0.9862090994787623,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-11-23,0.9114620810480695,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9824325876098612,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-11-24,0.9147403642823569,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9859661326116189,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-11-25,0.912739182124662,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9838091294774871,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-11-28,0.9066622240249452,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9772589922914876,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-11-29,0.9086283136357551,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9793781704163744,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-11-30,0.9063574833398057,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9769305231361858,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-12-01,0.9029191013847988,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9732244134126038,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9977739635266737,0.9895641354627259
2016-12-02,0.9122788070033002,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.9833129074939784,0.9719295218840296,0.9719295218840296,0.9533264141996612,1.007967273406506,0.9895641354627259
2016-12-05,0.9130751223831175,0.9349800159198892,0.9075132295211978,0.9617865970538704,1.0,0.984171227544164,0.9719295218840296,0.9719295218840296,0.9533264141996612,1.007816078315495,0.9895641354627259
2016-12-06,0.9026052209033505,0.9349800159198892,0.8969709772665146,0.9617865970538704,1.0,0.9728860927956506,0.9719295218840296,0.9719295218840296,0.9533264141996612,1.007816078315495,0.9895641354627259
2016-12-07,0.9025077683854382,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.972781052189648,0.9719295218840296,0.9719295218840296,0.9533264141996612,1.0075560939756203,0.9895641354627259
2016-12-08,0.8923748948118567,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9618591878446493,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.996243794097237,0.9895641354627259
