config,pool,n,win_rate,avg_pnl,total_pnl,pf
ORB15+VWAP,2409,274,0.33211678832116787,-0.0037850847249574614,-1.0371132146383444,0.5334863594708081
ORB15+VWAP,2891,356,0.34269662921348315,-0.00176684247251672,-0.6289959202159523,0.5740751083349017
ORB15+VWAP,6770,297,0.37037037037037035,-0.0033729151174898,-1.0017557898944707,0.6299677382924567
ORB15+VWAP,2317,299,0.40468227424749165,-0.002128792852939705,-0.6365090630289718,0.6482841616759061
ORB15+VWAP,2887,304,0.26973684210526316,-0.0021397992571059133,-0.6504989741601976,0.5488915657938597
ORB15+VWAP,3481,289,0.328719723183391,-0.0037506296846955296,-1.083931978877008,0.5936832236276351
ORB15_long_only,all,2884,0.35957004160887657,-0.0027167436101025533,-7.835088571535763,0.647198855933677
ORB15_long_only,2303,292,0.3595890410958904,-0.002739565672361901,-0.7999531763296751,0.5826744499550065
ORB15_long_only,2337,292,0.3493150684931507,-0.0033135361080555994,-0.967552543552235,0.6644169572547519
ORB15_long_only,2344,284,0.39436619718309857,-0.0035617309458993393,-1.0115315886354124,0.6483525513640045
ORB15_long_only,2408,297,0.4074074074074074,-0.00062523948361918,-0.18569612663489643,0.9306760243194605
ORB15_long_only,2409,272,0.33455882352941174,-0.0037512569650968064,-1.0203418945063314,0.5375416083602914
ORB15_long_only,2891,330,0.3484848484848485,-0.0017269243973048484,-0.5698850511106,0.5885638223050259
ORB15_long_only,6770,293,0.3651877133105802,-0.003583790079528811,-1.0500504933019417,0.6116592643271835
ORB15_long_only,2317,299,0.40468227424749165,-0.002128792852939705,-0.6365090630289718,0.6482841616759061
ORB15_long_only,2887,245,0.2938775510204082,-0.0016145344654162402,-0.39556094402697883,0.6518597213168684
ORB15_long_only,3481,280,0.325,-0.004278598894316861,-1.198007690408721,0.5412779230229311
ORB10_range0.4%,all,6965,0.40043072505384064,-0.0018491245844424998,-12.87915273064201,0.7415458537634386
ORB10_range0.4%,2303,679,0.36229749631811486,-0.002528307344486076,-1.7167206869060456,0.5990174860122434
ORB10_range0.4%,2337,708,0.4307909604519774,-0.0010449646093330161,-0.7398349434077754,0.8728561562474028
ORB10_range0.4%,2344,736,0.44429347826086957,-0.0018796294311622572,-1.3834072613354214,0.7871273112195494
ORB10_range0.4%,2408,739,0.4749661705006766,0.0007058707276949145,0.5216384677665418,1.0855427971201737
ORB10_range0.4%,2409,724,0.3867403314917127,-0.0028330183839634948,-2.05110530998957,0.6253613985602776
ORB10_range0.4%,2891,655,0.332824427480916,-0.0024038412610569784,-1.574516025992321,0.4762721807048842
ORB10_range0.4%,6770,731,0.44459644322845415,-0.0011314472189474945,-0.8270879170506185,0.8534963908059188
ORB10_range0.4%,2317,728,0.40796703296703296,-0.0019522049120472321,-1.421205175970385,0.6538265450059997
ORB10_range0.4%,2887,537,0.2905027932960894,-0.0026635886706433422,-1.4303471161354748,0.46581758261324824
ORB10_range0.4%,3481,728,0.3901098901098901,-0.0030996796176111837,-2.2565667616209417,0.6374819514575043
