strategy,param,fee_profile,n,win_rate,avg_pnl,total_pnl,median_pnl,profit_factor
mean_revert_band,"lb=10,band=3tick",standard_1425,20,0.1,-0.002900566095412251,-0.05801132190824502,-0.003008528852251078,0.011835000338531205
mean_revert_band,"lb=10,band=4tick",standard_1425,6,0.16666666666666666,-0.0027465393267442455,-0.016479235960465473,-0.003002421710666657,0.0122496164182417
mean_revert_band,"lb=20,band=2tick",standard_1425,103,0.0,-0.0026703409458393394,-0.27504511742145193,-0.0025487951807229518,0.0
mean_revert_band,"lb=20,band=3tick",standard_1425,37,0.0,-0.002574416953932201,-0.09525342729549144,-0.0022422819811606463,0.0
mean_revert_band,"lb=20,band=4tick",standard_1425,11,0.0,-0.0029023515350908333,-0.03192586688599917,-0.002543439607602541,0.0
mean_revert_band,"lb=30,band=2tick",standard_1425,107,0.0,-0.002600693975374018,-0.27827425536501993,-0.002548431845596951,0.0
mean_revert_band,"lb=30,band=3tick",standard_1425,43,0.023255813953488372,-0.0025743625337909157,-0.11069758895300938,-0.0025466019417476333,0.0020372282607857934
mean_revert_band,"lb=30,band=4tick",standard_1425,18,0.0,-0.0026499577718440475,-0.04769923989319286,-0.00285,0.0
mm_spread,spread=1tick,vip_3折,1215,0.013991769547325103,-0.0006419614205552401,-0.7799831259746167,-0.0005522449288526184,0.005593499274833769
mm_spread,spread=2tick,vip_3折,361,0.3047091412742382,-0.0006536047786217565,-0.2359513250824541,-0.0002498562783660173,0.04374689985608547
mm_spread,spread=3tick,vip_3折,273,0.5934065934065934,-0.0006667694246341118,-0.18202805292511254,4.2934750074862037e-05,0.10135800366876377
mm_spread,spread=4tick,vip_3折,224,0.5178571428571429,-0.0006726480819726296,-0.15067317036186903,6.089123725151659e-05,0.22581870844627255
mm_spread,spread=5tick,vip_3折,201,0.48258706467661694,-0.0006582231575835264,-0.13230285467428882,-0.0002570926756353955,0.31131039350256223
vwap_revert,z=0.0005,vip_3折,396,0.1994949494949495,-0.0004991658979736521,-0.19766969559756625,-0.0002538577755678004,0.12132050172013725
vwap_revert,z=0.0010,vip_3折,145,0.4896551724137931,-0.0003655084259876629,-0.052998721768211125,-0.0002208845909955747,0.3346796857691377
vwap_revert,z=0.0015,vip_3折,64,0.5625,-0.00015441043039156853,-0.009882267545060386,6.103907501034893e-05,0.6796940872371425
vwap_revert,z=0.0020,vip_3折,23,0.5217391304347826,-5.346601068269269e-05,-0.001229718245701932,5.685410334349973e-05,0.8924590470403871
orb,orb=5m,vip_3折,369,0.14905149051490515,-0.0009647116319732481,-0.35597859219812855,-0.0011627870113882768,0.15617987346163606
orb,orb=10m,vip_3折,207,0.23671497584541062,-0.0008610490563108679,-0.17823715465634965,-0.0011629765937788115,0.2367117161693451
orb,orb=15m,vip_3折,158,0.27848101265822783,-0.0007855434095652839,-0.12411585871131485,-0.000855,0.28279016572180116
orb,orb=30m,vip_3折,126,0.2777777777777778,-0.0007845473861826228,-0.09885297065901047,-0.000855,0.24364819635966956
mean_revert_band,"lb=10,band=2tick",vip_3折,70,0.35714285714285715,-0.0007431924947036731,-0.05202347462925712,-0.0005537492581037457,0.2030782356263005
mean_revert_band,"lb=10,band=3tick",vip_3折,20,0.35,-0.0009055660954122507,-0.018111321908245014,-0.0010135288522510782,0.24285932856314868
mean_revert_band,"lb=10,band=4tick",vip_3折,6,0.3333333333333333,-0.0007515393267442449,-0.00450923596046547,-0.0010074217106666567,0.4091193095445853
mean_revert_band,"lb=20,band=2tick",vip_3折,103,0.3106796116504854,-0.0006753409458393381,-0.06956011742145182,-0.0005537951807229515,0.14834690355022306
mean_revert_band,"lb=20,band=3tick",vip_3折,37,0.4594594594594595,-0.0005794169539322006,-0.021438427295491422,-0.00024728198116064635,0.30181667574710724
mean_revert_band,"lb=20,band=4tick",vip_3折,11,0.36363636363636365,-0.000907351535090833,-0.009980866885999163,-0.0005484396076025408,0.22884929103267274
mean_revert_band,"lb=30,band=2tick",vip_3折,107,0.34579439252336447,-0.0006056939753740168,-0.0648092553650198,-0.0005534318455969506,0.18901945204779724
mean_revert_band,"lb=30,band=3tick",vip_3折,43,0.37209302325581395,-0.0005793625337909156,-0.024912588953009372,-0.0005516019417476331,0.32106184162536566
mean_revert_band,"lb=30,band=4tick",vip_3折,18,0.2777777777777778,-0.0006549577718440476,-0.011789239893192856,-0.000855,0.3013483614016971
mm_spread,spread=1tick,vip_1折,1215,0.9234567901234568,-7.196142055524025e-05,-0.0874331259746169,1.775507114738144e-05,0.4049563736176741
mm_spread,spread=2tick,vip_1折,361,0.7368421052631579,-8.360477862175662e-05,-0.030181325082454143,0.0003201437216339826,0.7983020619267689
mm_spread,spread=3tick,vip_1折,273,0.6776556776556777,-9.676942463411184e-05,-0.026418052925112533,0.0006129347500748619,0.8137827854067233
mm_spread,spread=4tick,vip_1折,224,0.6116071428571429,-0.00010264808197262968,-0.02299317036186905,0.0006308912372515166,0.8304166578751621
mm_spread,spread=5tick,vip_1折,201,0.572139303482587,-8.822315758352654e-05,-0.017732854674288832,0.0003129073243646044,0.8686285287219855
