symbol,strategy,params,round_trip_cost_pct,n,win_rate,avg_pnl,total_pnl,pf
2330,orb_vwap_long,"(30,)",0.17850000000000002,29,0.3448275862068966,-0.002766799755489071,-0.08023719290918306,0.26972259713956886
2330,vwap_pullback,"(None,)",0.17850000000000002,45,0.6444444444444445,-0.000588879559516983,-0.02649958017826424,0.720409976322058
2330,momentum,"(15,)",0.17850000000000002,119,0.2184873949579832,-0.003701896498893248,-0.4405256833682965,0.2102330286887339
2330,momentum,"(30,)",0.17850000000000002,78,0.2564102564102564,-0.0033602362234940223,-0.26209842543253375,0.25546661039174345
2330,momentum,"(60,)",0.17850000000000002,64,0.28125,-0.002884425510146213,-0.18460323264935763,0.24498924919862855
2330,rsi_revert,"(25, 75)",0.17850000000000002,192,0.703125,-0.00012175930085871565,-0.023377785764873406,0.8653459320226959
2330,rsi_revert,"(30, 70)",0.17850000000000002,275,0.7018181818181818,-0.00011503574793044404,-0.03163483068087211,0.8788398530706203
2330,gap_go,"(0.005,)",0.17850000000000002,21,0.3333333333333333,-0.0022063823724808385,-0.04633402982209761,0.5920357951455135
2330,gap_go,"(0.008,)",0.17850000000000002,17,0.4117647058823529,-0.0010901544738161578,-0.018532626054874685,0.783932419841865
2337,orb,"(5, False)",0.17850000000000002,897,0.3935340022296544,-0.0012807952333403093,-1.1488733243062574,0.8480350351285376
2337,orb,"(10, False)",0.17850000000000002,754,0.42572944297082227,-0.0009068323433414357,-0.6837515868794425,0.8886048793456784
2337,orb,"(15, False)",0.17850000000000002,680,0.4338235294117647,-0.0009111026010743514,-0.619549768730559,0.8845757564066267
2337,orb,"(30, False)",0.17850000000000002,550,0.45636363636363636,-0.0005761501766480567,-0.3168825971564312,0.9144786459226678
2337,orb_long_only,"(5, True)",0.17850000000000002,431,0.31554524361948955,-0.0028180959244779795,-1.214599343450009,0.7020352062573165
2337,orb_long_only,"(10, True)",0.17850000000000002,350,0.34,-0.0030508298785757383,-1.0677904575015085,0.6921131326492997
2337,orb_long_only,"(15, True)",0.17850000000000002,305,0.3540983606557377,-0.0029422454563181526,-0.8973848641770366,0.6970112396245358
2337,orb_long_only,"(30, True)",0.17850000000000002,238,0.3949579831932773,-0.002196099129358478,-0.5226715927873178,0.7362253305772266
2337,orb_vwap_long,"(10,)",0.17850000000000002,350,0.34,-0.003073716736653252,-1.0758008578286382,0.6903965561534359
2337,orb_vwap_long,"(15,)",0.17850000000000002,305,0.3540983606557377,-0.0029422454563181526,-0.8973848641770366,0.6970112396245358
2337,orb_vwap_long,"(30,)",0.17850000000000002,238,0.3949579831932773,-0.002196099129358478,-0.5226715927873178,0.7362253305772266
2337,vwap_pullback,"(None,)",0.17850000000000002,532,0.6842105263157895,-0.001444969626512212,-0.7687238413044968,0.6505024040793428
2337,momentum,"(15,)",0.17850000000000002,1052,0.3574144486692015,-0.001872846348572889,-1.9702343586986792,0.7449091835083768
2337,momentum,"(30,)",0.17850000000000002,840,0.39404761904761904,-0.0015611588547887424,-1.3113734380225437,0.7695127605846603
2337,momentum,"(60,)",0.17850000000000002,672,0.40922619047619047,-0.001462974626509019,-0.9831189490140608,0.7487688104753478
2337,rsi_revert,"(25, 75)",0.17850000000000002,3267,0.610651974288338,-0.00035055212827298453,-1.1452538030678405,0.8349696957120486
2337,rsi_revert,"(30, 70)",0.17850000000000002,4101,0.6169227017800536,-0.00033495482452369893,-1.3736497353716892,0.8442113177413406
2337,gap_go,"(0.005,)",0.17850000000000002,271,0.26199261992619927,-0.002673264709477845,-0.724454736268496,0.7154273730440294
