year,stock_id,name,industry,start,end,ret,avg_vol,shape,peak_ret,giveback,peak_date,first_half,second_half,max_dd
2024,4562,穎漢,電機機械,15.6,67.0,3.2948717948717947,1166756.0,波段震盪上漲,4.128205128205129,0.1625,2024-08-19,3.6730769230769234,-0.08093278463648845,-0.26749999999999996
2024,2359,所羅門,電子工業,39.25,168.0,3.2802547770700636,5252560.5,波段震盪上漲,3.5859872611464967,0.06666666666666667,2024-06-03,3.4713375796178347,-0.042735042735042694,-0.27222222222222225
2025,5475,德宏,電子零組件業,12.0,95.9,6.991666666666667,3345315.0,全年階梯上漲,7.5,0.0598039215686274,2025-12-29,1.4166666666666665,2.306896551724138,-0.3345070422535211
2025,2408,南亞科,電子工業,28.45,193.0,5.783831282952549,63336383.0,全年階梯上漲,5.836555360281195,0.007712082262210797,2025-12-30,0.7047451669595783,2.979381443298969,-0.3441910966340933
2025,2344,華邦電,電子工業,14.5,82.6,4.69655172413793,176994738.0,下半年主升段,4.772413793103448,0.013142174432497114,2025-12-30,0.3034482758620689,3.3703703703703702,-0.3507109004739337
2025,8021,尖點,電子工業,33.55,190.0,4.663189269746647,15134977.0,年底創新高收斂,4.663189269746647,0.0,2025-12-31,0.4903129657228018,2.8,-0.3903818953323904
2025,8358,金居,電子零組件業,58.0,277.0,3.7758620689655173,1966816.5,下半年主升段,3.8103448275862073,0.007168458781362007,2025-12-10,-0.013793103448275779,3.8426573426573425,-0.3421501706484642
2025,5498,凱崴,電子零組件業,11.35,50.4,3.4405286343612334,5315134.5,下半年主升段,3.7665198237885464,0.06839186691312389,2025-12-30,0.09251101321585908,3.064516129032258,-0.36331877729257633
2025,8110,華東,半導體業,13.9,57.2,3.115107913669065,4146389.0,下半年主升段,3.115107913669065,0.0,2025-12-31,-0.06834532374100732,3.416988416988417,-0.3616352201257862
2025,4722,國精化,化學生技醫療,47.95,187.5,2.9103232533889467,3085789.5,下半年主升段,3.4734098018769552,0.1258741258741259,2025-10-03,0.2909280500521376,2.02907915993538,-0.38671328671328664
2026,7610,聯友金屬-創,綠能環保,147.0,1605.0,9.918367346938776,856504.5,全年階梯上漲,17.027210884353742,0.39433962264150946,2026-07-09,4.64625850340136,0.9337349397590362,-0.5867924528301887
2026,4573,高明鐵,電機機械,75.0,622.0,7.293333333333333,1141257.0,年底創新高收斂,7.293333333333333,0.0,2026-09-01,5.44,0.28778467908902683,-0.5403624382207578
2026,6990,華鉬,綠能環保,22.8,165.5,6.258771929824561,627090.0,全年階梯上漲,8.780701754385964,0.257847533632287,2026-08-10,2.899122807017544,0.8616422947131608,-0.4357798165137615
2026,3026,禾伸堂,電子零組件業,106.0,731.0,5.89622641509434,7787021.0,全年階梯上漲,8.481132075471699,0.272636815920398,2026-07-09,2.108490566037736,1.2185128983308045,-0.5746268656716418
2026,2426,鼎元,電子工業,17.25,107.5,5.231884057971015,34767679.5,全年階梯上漲,5.231884057971015,0.0,2026-09-01,2.8666666666666667,0.6116941529235382,-0.4989440337909187
2026,3595,山太士,光電業,301.5,1690.0,4.60530679933665,628783.5,波段震盪上漲,8.651741293532337,0.41924398625429554,2026-05-12,8.286898839137645,-0.39642857142857146,-0.6030927835051547
2026,3189,景碩,電子工業,156.0,874.0,4.602564102564102,31826511.0,全年階梯上漲,4.858974358974359,0.0437636761487965,2026-08-27,2.2243589743589745,0.7375745526838966,-0.3535353535353535
2026,6141,柏承,電子工業,10.5,58.0,4.523809523809524,1955605.0,全年階梯上漲,4.609523809523809,0.015280135823429518,2026-08-31,2.1666666666666665,0.744360902255639,-0.36413043478260865
