score,stock_id,stock_name,securities_trader,securities_trader_id,net_lots,buy_lots,sell_lots,buy_ratio,active_days,hold_ratio,avg_buy,avg_sell,spread
147.1859430847378,2330,台積電,中銀台北,6115,814.391,1180.447,366.056,0.7633008148060495,103,0.9740726830831942,2332.4904548870045,2313.246607076513,-0.0082503436488547
151.47967979103066,2330,台積電,國泰台中,8882,2054.104,9692.968,7638.864,0.5592581326659525,103,0.8533610294652223,2307.4305269552115,2308.878481145888,0.000627518000547
53.66860503898408,7610,聯友金屬-創,摩根大通,8440,1420.392,4396.203,2975.811,0.5963367676729859,101,0.8463409431356262,1762.533052955016,1436.2570186749092,-0.1851176826063381
69.41404975259576,2383,台光電,港麥格理,1360,1917.723,6114.828,4197.105,0.5929856216094499,102,0.9094669839037136,4969.010327845689,4964.657563963732,-0.0008759820557354
166.40604594816568,2330,台積電,國票敦北,779c,2260.763,6287.915,4027.152,0.6095854733662903,103,0.9674209004504692,2301.7412202614064,2286.977752515922,-0.006414043253658
84.44402341035031,3037,欣興,法銀巴黎,8900,5658.381,7657.885,1999.504,0.7929560464013617,94,1.0,967.5690999538384,881.7330763029231,-0.0887130683017992
182.05136136488517,6173,信昌電,元大館前,984K,7255.532,10396.707,3141.175,0.7679714596419145,101,0.997016726941333,210.19598547886363,168.067736117854,-0.2004236630163703
145.97025212934233,2409,友達,元大大益,9814,2379.832,28890.521,26510.689,0.5214781590510388,103,0.8476573797701903,24.821676511129724,24.84995789245613,0.0011393823988368
60.98715299082959,3008,大立光,台灣摩根,1470,2449.652,18599.494,16149.842,0.5352474648724224,103,0.8685994627392356,4256.267035275261,4037.143499917832,-0.0514825628987487
160.9520932657551,1326,台化,元大雙和,9874,4837.085,9557.338,4720.253,0.6693942976794894,103,0.9357414048526153,62.3452481642901,61.51335100046545,-0.0133433932548069
170.77363685317914,2317,鴻海,兆豐南門,700g,5576.478,9455.049,3878.571,0.7091134290612752,103,0.9803033230242718,261.6544556247144,252.13114185611144,-0.0363965281839574
152.6164581792911,2486,一詮,中信三重,6161,1382.94,2719.94,1337.0,0.6704412685423004,103,1.0,234.80412123061535,245.00474495138369,0.0434431204499585
